Id,Designator,Footprint,Quantity,Designation,LCSC Part #,,
1,"D1,D5,D2,D3,D4",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,5,WS2812B,C2761795,,
2,"S5,S6,S1,S2,S4,S3",SW_TS04-66-95-BK-100-SMT,6,TS04-66-95-BK-100-SMT,C2835240,,
3,"S8,S7",TS-1037_right_angle,2,SW_Push,C499324,,
4,"R2,R7,R5,R6,R4,R1,R3,R8",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,8,100k,C2907421,,
5,"C6,C5,C3,C7,C4,C1",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,6,0.1uF (100nF),C24497,,
6,R9,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,300Ω,C25372,,
7,C2,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,1,1uF,C90539,,
8,U1,SOIC127P600X175-16N,1,74HC165D_653,C5613,,
9,REF1,Edge_Connector_Rings,1,~,-,,
10,Ref**,Lancaster_Cityscape,1,Val**,-,,
