"Reference","Value","Footprint","Qty","DNP"
"BT1","BH-AAA-B5AA001","Solderbit_Gamepad:Battery_Holder","1",""
"C1,C2,C3,C4,C5,C6","1uF","Solderbit_Gamepad:1206_Capacitor","6",""
"D1,D2,D3,D4,D5","WS2812B-B/T","Solderbit_Gamepad:NeoPixel_WS2812B","5",""
"D6","BAT60B","Solderbit_Gamepad:Schottky_Diode_SOD-323","1",""
"R1,R2,R3,R4,R5,R6,R7,R8","100k","Solderbit_Gamepad:1206_Resistor","8",""
"R9","300","Solderbit_Gamepad:1206_Resistor","1",""
"S1,S2,S3,S4,S5,S6","TS-1002S-AR06026","Solderbit_Gamepad:Tactile_Switch","6",""
"S7,S8","TS-1037-A4B3-D2","-- mixed values --","2",""
"SW1","MST22D18G2 125","Solderbit_Gamepad:Sliding_Switch_DPDT","1",""
"U1","74HC165D,653","Solderbit_Gamepad:Shift_Register_74HC165D","1",""
